ID,address,city,ABBRV,state,lon,lat,name,postalCode(3)
9467,26 Railroad St,Saint Johnsbury,VT,Vermont,-72.01748,44.412902,Subway,05819
9469,985 Memorial Dr,Saint Johnsbury,VT,Vermont,-72.01625,44.44642,Taco Bell,05819
9470,250 Railroad St,Saint Johnsbury,VT,Vermont,-72.01582,44.41617,Domino's Pizza,05819
1518,135-143 Connecticut 83,Ellington,CT,Connecticut,-72.462607,41.888625,McDonald's,06029
1462,331 South Rd,Farmington,CT,Connecticut,-72.76234,41.726192,Wendy's,06032
1481,260 Broad St,Manchester,CT,Connecticut,-72.53458,41.78032,Wendy's,06040
1529,184 Spencer St,Manchester,CT,Connecticut,-72.56815,41.76689,McDonald's,06040
1476,698 W Main St,New Britain,CT,Connecticut,-72.8059,41.66616,McDonald's,06053
1520,260 New Britain Ave,Plainville,CT,Connecticut,-72.84132,41.67589,McDonald's,06062
1537,167 New Britain Ave,Plainville,CT,Connecticut,-72.84572,41.67809,Taco Bell,06062
1456,129 Talcottville Rd,Vernon Rockville,CT,Connecticut,-72.495418,41.830847,Taco Bell,06066
1471,89 Talcottville Rd,Vernon Rockville,CT,Connecticut,-72.49615,41.82908,McDonald's,06066
1472,74 Reservoir Rd,Vernon Rockville,CT,Connecticut,-72.42974,41.856182,McDonalds,06066
1510,75 Reservoir Rd,Vernon Rockville,CT,Connecticut,-72.4319,41.8586,Burger King,06066
1494,1994 Silas Deane Hwy,Rocky Hill,CT,Connecticut,-72.6458,41.6735,McDonald's,06067
1469,769 John Fitch Blvd,South Windsor,CT,Connecticut,-72.6086,41.8237,McDonald's,06074
1478,1799 Farmington Ave,Unionville,CT,Connecticut,-72.88279,41.75659,McDonald's,06085
1485,45 Prospect Hill Rd,East Windsor,CT,Connecticut,-72.60995,41.918503,Wendy's,06088
1538,195 Ella Grasso Tpke,Windsor Locks,CT,Connecticut,-72.66967567,41.92840676,McDonald's,06096
1463,524 Farmington Ave,Hartford,CT,Connecticut,-72.709338,41.766508,Burger King,06105
1515,471 Farmington Ave,Hartford,CT,Connecticut,-72.706785,41.766631,Subway,06105
